CauHoi,Intent
Lên facebook viết xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,info
"Lên facebook viết status xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì ",info
Lên facebook viết status xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,info
Lên facebook viết status xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,info
Lên facebook viết status xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,info
"Sử dụng Internet vào mạng xã hội viết những điều không đúng hoặc nội dung xuyên tạc gây ảnh hưởng đến uy tín nhà trường, thầy cô mà không có căn cứ, minh chứng rõ ràng hoặc có minh chứng nhưng sử dụng từ ngữ vô lễ, không đúng mực về Nhà trường, thày/cô ",info
"Lên mạng xã hội viết xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì",info
Lên mạng xã hội viết xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,info
Lên mạng xã hội viết xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,info
Lên mạng xã hội viết xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,info
"Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng nhà trường, thầy cô bị xử lý gì ",info
Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng đến nhà trường bị xử lý gì,info
Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng đến thầy cô bị xử lý gì,info
Lên mạng xã hội viết status xuyên tạc gây ảnh hưởng nhà trường bị xử lý gì,info
Đưa hình ảnh phản cảm lên mạng xã hội làm ảnh hưởng đến uy tín và hình ảnh nhà trường bị xử lý gì,info
Đưa hình ảnh phản cảm lên mạng xã hội làm ảnh hưởng đến uy tín và hình ảnh nhà trường bị xử lý sao,info
Đưa hình ảnh phản cảm lên mạng xã hội làm ảnh hưởng đến uy tín và hình ảnh nhà trường bị xử lý thế nào,info
Lên mạng xã hội đăng hình ảnh làm ảnh hưởng uy tín nhà trường bị xử lý gì,info
Sử dụng Internet vào mạng xã hội viết nội dung có nhắc đến tên trường mang thái độ châm biếm bị xử lý gì,info
Sử dụng Internet vào mạng xã hội viết nội dung có nhắc đến tên trường mang thái độ châm biếm bị xử lý sao,info
Sử dụng Internet vào mạng xã hội viết nội dung có nhắc đến tên trường mang thái độ châm biếm bị xử lý thế nào,info
Lên mạng xã hội viết nội dung có nhắc tên nhà trường với thái độ châm biếm bị xử lý gì,info
Lên mạng xã hội viết nội dung có nhắc tên nhà trường với thái độ châm biếm bị xử lý sao,info
Lên mạng xã hội viết nội dung có nhắc tên nhà trường với thái độ châm biếm bị xử lý thế nào,info
Vi phạm quyền tác giả với tác phẩm hoặc sử dụng giai điệu Hành khúc Đại học Tôn Đức Thắng không đúng mục đích bị xử lý gì,info
Vi phạm quyền tác giả với tác phẩm hoặc sử dụng giai điệu Hành khúc Đại học Tôn Đức Thắng không đúng mục đích bị xử lý sao,info
Vi phạm quyền tác giả với tác phẩm hoặc sử dụng giai điệu Hành khúc Đại học Tôn Đức Thắng không đúng mục đích bị xử lý thế nào,info
sử dụng giai điệu hành khúc đại học tôn đức thắng không đúng mục đích bị xử lý gì,info
sử dụng giai điệu hành khúc đại học tôn đức thắng không đúng mục đích bị xử lý sao,info
sử dụng giai điệu hành khúc đại học tôn đức thắng không đúng mục đích bị xử lý thế nào,info
Vi phạm quyền tác giả với tác phẩm hành khúc đại học tôn đức thắng bị xử lý thế nào,info
Vi phạm quyền tác giả với tác phẩm hành khúc đại học tôn đức thắng bị xử lý gì,info
Vi phạm quyền tác giả với tác phẩm hành khúc đại học tôn đức thắng bị xử lý sao,info
"Nhận được thông tin chưa kiểm chứng, chưa báo cáo khoa quản lý đã phát tán thông tin cho người khác hoặc phản ánh thông tin về nhà trường, thầy cô không chính xác khi chưa tìm hiểu hoặc phát ngôn không đúng sự thật hoặc phản ánh lại nội dung đã được nhà trường giải quyết ",info
Phát tán thông tin chưa được kiểm chứng bị xử lý gì,info
"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng vẫn cố tình không chấp hành bị xử lý gì",info
"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng vẫn cố tình không chấp hành bị xử lý sao",info
"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng vẫn cố tình không chấp hành bị xử lý thế nào",info
"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng có thái độ không đúng mực bị xử lý gì",info
"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng có thái độ không đúng mực bị xử lý sao",info
"Vi phạm nội quy nhà trường, thầy cô, giám thị nhắc nhở nhưng có thái độ không đúng mực bị xử lý thế nào",info
Bỏ chạy khi bị lập biên bản bị xử lý gì,info
Bỏ chạy khi bị lập biên bản bị xử lý sao,info
Bỏ chạy khi bị lập biên bản bị xử lý thế nào,info
Ghi tục vào biên bản xử lý sinh viên vi phạm bị xử lý gì,info
Ghi tục vào biên bản xử lý sinh viên vi phạm bị xử lý sao,info
Ghi tục vào biên bản xử lý sinh viên vi phạm bị xử lý thế nào,info
"Văng tục, chửi thề, ăn nói bất lịch sự trong trường bị xử lý gì",info
"Văng tục, chửi thề, ăn nói bất lịch sự trong trường bị xử lý sao",info
"Văng tục, chửi thề, ăn nói bất lịch sự trong trường bị xử lý thế nào",info
Chửi thề trong trường bị xử lý gì,info
Chửi thề trong trường bị xử lý sao,info
Chửi thề trong trường bị xử lý thế nào,info
Văng tục trong trường bị xử lý gì,info
Văng tục trong trường bị xử lý sao,info
Văng tục trong trường bị xử lý thế nào,info
Ăn nói bất lịch sự trong trường bị xử lý gì,info
Ăn nói bất lịch sự trong trường bị xử lý sao,info
Ăn nói bất lịch sự trong trường bị xử lý thế nào,info
Không đeo thẻ sinh viên trong trường bị xử lý thế nào ,info
Không đeo thẻ sinh viên trong trường bị xử lý sao,info
Không đeo thẻ sinh viên trong trường bị xử lý gì,info
Trong trường không đeo thẻ sinh viên bị xử lý thế nào,info
Trong trường không đeo thẻ sinh viên bị xử lý sao,info
Trong trường không đeo thẻ sinh viên bị xử lý gì,info
Cho người khác mượn thẻ sinh viên bị xử lý gì,info
Cho người khác mượn thẻ sinh viên bị xử lý sao,info
Cho người khác mượn thẻ sinh viên bị xử lý thế nào,info
Mượn thẻ của sinh viên khác bị xử lý gì,info
Mượn thẻ của sinh viên khác bị xử lý sao,info
Mượn thẻ của sinh viên khác bị xử lý thế nào,info
Quên đeo thẻ sinh viên trong trường bị xử lý thế nào ,info
Quên đeo thẻ sinh viên trong trường bị xử lý sao,info
Quên đeo thẻ sinh viên trong trường bị xử lý gì,info
Làm lại thẻ sinh viên nhưng không theo dõi thời gian nhận lại thẻ bị xử lý gì,info
Làm lại thẻ sinh viên nhưng không theo dõi thời gian nhận lại thẻ bị xử lý sao,info
Làm lại thẻ sinh viên nhưng không theo dõi thời gian nhận lại thẻ bị xử lý thế nào,info
Làm lại thẻ sinh viên nhưng lấy thẻ quá thời gian nhận lại thẻ bị xử lý gì,info
Làm lại thẻ sinh viên nhưng lấy thẻ quá thời gian nhận lại thẻ bị xử lý sao,info
Làm lại thẻ sinh viên nhưng lấy thẻ quá thời gian nhận lại thẻ bị xử lý thế nào,info
Mang dép lê bị xử lý gì,info
Mang dép lê bị xử lý sao,info
Mang dép lê bị xử lý thế nào,info
Mang dép lê vào trường bị xử lý gì,info
Mang dép lê vào trường bị xử lý sao,info
Mang dép lê vào trường bị xử lý thế nào,info
"Trang phục không lịch sự, không gọn gàng, không phù hợp với môi trường giáo dục bị xử lý gì",info
"Trang phục không lịch sự, không gọn gàng, không phù hợp với môi trường giáo dục bị xử lý sao",info
"Trang phục không lịch sự, không gọn gàng, không phù hợp với môi trường giáo dục bị xử lý thế nào",info
Mặc trang phục không lịch sự vào trường bị xử lý gì,info
Mặc trang phục không lịch sự vào trường bị xử lý sao,info
Mặc trang phục không lịch sự vào trường bị xử lý thế nào,info
Mặc trang phục không lịch sự bị xử lý gì,info
Mặc trang phục không lịch sự bị xử lý sao,info
Mặc trang phục không lịch sự bị xử lý thế nào,info
Mặc trang phục không gọn gàng vào trường bị xử lý gì,info
Mặc trang phục không gọn gàng vào trường bị xử lý sao,info
Mặc trang phục không gọn gàng vào trường bị xử lý thế nào,info
Mặc trang phục không gọn gàng bị xử lý gì,info
Mặc trang phục không gọn gàng bị xử lý sao,info
Mặc trang phục không gọn gàng bị xử lý thế nào,info
Mặc trang phục không phù hợp với môi trường giáo dục bị xử lý gì,info
Mặc trang phục không phù hợp với môi trường giáo dục bị xử lý sao,info
Mặc trang phục không phù hợp với môi trường giáo dục bị xử lý thế nào,info
Không thực hiện đúng qui định về mặc trang phục truyền thống bị xử lý gì,info
Không thực hiện đúng qui định về mặc trang phục truyền thống bị xử lý sao,info
Không thực hiện đúng qui định về mặc trang phục truyền thống bị xử lý thế nào,info
"Không mặc trang phục truyền thống vào thứ 2,5 hàng tuần bị xử lý gì",info
"Không mặc trang phục truyền thống vào thứ 2,5 hàng tuần bị xử lý sao",info
"Không mặc trang phục truyền thống vào thứ 2,5 hàng tuần bị xử lý thế nào",info
Không mặc trang phục truyền thống vào thứ 2 bị xử lý gì ,info
Không mặc trang phục truyền thống vào thứ 2 bị xử lý sao,info
Không mặc trang phục truyền thống vào thứ 2 bị xử lý thế nào,info
Không mặc trang phục truyền thống vào thứ 5 bị xử lý gì ,info
Không mặc trang phục truyền thống vào thứ 5 bị xử lý sao,info
Không mặc trang phục truyền thống vào thứ 5 bị xử lý thế nào,info
"Mang đồ ăn, thức uống vào phòng học, thư viện bị xử lý gì",info
"Mang đồ ăn, thức uống vào phòng học, thư viện bị xử lý sao",info
"Mang đồ ăn, thức uống vào phòng học, thư viện bị xử lý thế nào",info
Mang đồ ăn vào phòng học bị xử lý gì,info
Mang đồ ăn vào phòng học bị xử lý sao,info
Mang đồ ăn vào phòng học bị xử lý thế nào,info
Mang thức uống vào phòng học bị xử lý gì,info
Mang thức uống vào phòng học bị xử lý sao,info
Mang thức uống vào phòng học bị xử lý thế nào,info
Mang đồ ăn vào thư viện bị xử lý gì,info
Mang đồ ăn vào thư viện bị xử lý sao,info
Mang đồ ăn vào thư viện bị xử lý thế nào,info
Mang thức uống vào thư viện bị xử lý gì,info
Mang thức uống vào thư viện bị xử lý sao,info
Mang thức uống vào thư viện bị xử lý thế nào,info
"Ăn uống trong phòng học, thư viện bị xử lý gì",info
"Ăn uống trong phòng học, thư viện bị xử lý sao",info
"Ăn uống trong phòng học, thư viện bị xử lý thế nào",info
Ăn uống trong phòng học bị xử lý gì,info
Ăn uống trong phòng học bị xử lý sao,info
Ăn uống trong phòng học bị xử lý thế nào,info
Ăn uống trong thư viện bị xử lý gì,info
Ăn uống trong thư viện bị xử lý sao,info
Ăn uống trong thư viện bị xử lý thế nào,info
"Ngủ trong giờ học, thư viện bị xử lý gì",info
"Ngủ trong giờ học, thư viện bị xử lý sao",info
"Ngủ trong giờ học, thư viện bị xử lý thế nào",info
Ngủ trong giờ học bị xử lý gì,info
Ngủ trong giờ học bị xử lý sao,info
Ngủ trong giờ học bị xử lý thế nào,info
Ngủ trong thư viện bị xử lý gì,info
Ngủ trong thư viện bị xử lý sao ,info
Ngủ trong thư viện bị xử lý thế nào,info
"Chơi game, nghe nhạc, coi phim, đọc báo, đọc truyện, chơi cờ caro, thêu tranh,… trong giờ học, thư viện bị xử lý gì",info
"Chơi game, nghe nhạc, coi phim, đọc báo, đọc truyện, chơi cờ caro, thêu tranh,… trong giờ học, thư viện bị xử lý sao",info
"Chơi game, nghe nhạc, coi phim, đọc báo, đọc truyện, chơi cờ caro, thêu tranh,… trong giờ học, thư viện bị xử lý thế nào",info
Chơi game trong giờ học bị xử lý gì,info
Chơi game trong giờ học bị xử lý sao,info
Chơi game trong giờ học bị xử lý thế nào,info
Chơi game trong thư viện bị xử lý gì,info
Chơi game trong thư viện bị xử lý sao,info
Chơi game trong thư viện bị xử lý thế nào,info
Nghe nhạc trong giờ học bị xử lý gì,info
Nghe nhạc trong giờ học bị xử lý sao,info
Nghe nhạc trong giờ học bị xử lý thế nào,info
Nghe nhạc trong thư viện bị xử lý gì,info
Nghe nhạc trong thư viện bị xử lý sao,info
Nghe nhạc trong thư viện bị xử lý thế nào,info
Coi phim trong giờ học bị xử lý gì,info
Coi phim trong giờ học bị xử lý sao ,info
Coi phim trong giờ học bị xử lý thế nào,info
Coi phim trong thư viện bị xử lý gì,info
Coi phim trong thư viện bị xử lý sao,info
Coi phim trong thư viện bị xử lý thế nào,info
Xem phim trong giờ học bị xử lý gì,info
Xem phim trong giờ học bị xử lý sao,info
Xem phim trong giờ học bị xử lý thế nào,info
Xem phim trong thư viện bị xử lý gì,info
Xem phim trong thư viện bị xử lý sao,info
Xem phim trong thư viện bị xử lý thế nào,info
Đọc báo trong giờ học bị xử lý gì ,info
Đọc báo trong giờ học bị xử lý sao ,info
Đọc báo trong giờ học bị xử lý thế nào,info
Đọc truyện trong giờ học bị xử lý gì,info
Đọc truyện trong giờ học bị xử lý sao,info
Đọc truyện trong giờ học bị xử lý thế nào,info
Đọc truyện trong thư viện bị xử lý gì,info
Đọc truyện trong thư viện bị xử lý sao,info
Đọc truyện trong thư viện bị xử lý thế nào,info
Chơi trò chơi trong giờ học bị xử lý gì,info
Chơi trò chơi trong giờ học bị xử lý sao,info
Chơi trò chơi trong giờ học bị xử lý thế nào,info
Chơi trò chơi trong thư viện bị xử lý gì,info
Chơi trò chơi trong thư viện bị xử lý sao,info
Chơi trò chơi trong thư viện bị xử lý thế nào,info
Lướt face trong giờ học bị xử lý gì,info
Lướt face trong giờ học bị xử lý sao,info
Lướt face trong giờ học bị xử lý thế nào,info
Xem tiktok trong giờ học bị xử lý gì,info
Xem tiktok trong giờ học bị xử lý sao,info
Xem tiktok trong giờ học bị xử lý thế nào,info
Lướt tiktok trong giờ học bị xử lý gì,info
Lướt tiktok trong giờ học bị xử lý sao,info
Lướt tiktok trong giờ học bị xử lý thế nào,info
"Sử dụng điện thoại, sử dụng máy vi tính không đúng mục đích trong giờ học, thư viện bị xử lý như thế nào",info
"Sử dụng điện thoại, sử dụng máy vi tính không đúng mục đích trong giờ học, thư viện bị xử lý sao",info
"Sử dụng điện thoại, sử dụng máy vi tính không đúng mục đích trong giờ học, thư viện bị xử lý gì",info
Sử dụng điện thoại trong giờ học bị xử lý như thế nào,info
Sử dụng điện thoại trong giờ học bị xử lý sao,info
Sử dụng điện thoại trong giờ học bị xử lý gì,info
Sử dụng máy vi tính không đúng mục đích trong giờ học bị xử lý như thế nào,info
Sử dụng máy vi tính không đúng mục đích trong giờ học bị xử lý sao,info
Sử dụng máy vi tính không đúng mục đích trong giờ học bị xử lý gì,info
Sử dụng máy vi tính không đúng mục đích trong thư viện bị xử lý như thế nào,info
Sử dụng máy vi tính không đúng mục đích trong thư viện bị xử lý sao,info
Sử dụng máy vi tính không đúng mục đích trong thư viện bị xử lý gì,info
"Mất trật tự, làm việc riêng trong giờ học, thư viện bị xử lý như thế nào",info
"Mất trật tự, làm việc riêng trong giờ học, thư viện bị xử lý sao",info
"Mất trật tự, làm việc riêng trong giờ học, thư viện bị xử lý gì",info
Mất trật tự trong giờ học bị xử lý như thế nào,info
Mất trật tự trong giờ học bị xử lý sao,info
Mất trật tự trong giờ học bị xử lý gì,info
Làm việc riêng trong giờ học bị xử lý như thế nào,info
Làm việc riêng trong giờ học bị xử lý sao,info
Làm việc riêng trong giờ học bị xử lý gì,info
Tự ý vào lớp khi giờ học đã bắt đầu bị xử lý gì,info
Tự ý vào lớp khi giờ học đã bắt đầu bị xử lý sao,info
Tự ý vào lớp khi giờ học đã bắt đầu bị xử lý như thế nào,info
Tự ý bỏ học đi ra ngoài mà không xin phép thầy cô bị xử lý gì,info
Tự ý bỏ học đi ra ngoài mà không xin phép thầy cô bị xử lý sao,info
Tự ý bỏ học đi ra ngoài mà không xin phép thầy cô bị xử lý như thế nào,info
Đi trễ nhưng vẫn vào điểm danh chào cờ bị xử lý gì,info
Đi trễ nhưng vẫn vào điểm danh chào cờ bị xử lý sao,info
Đi trễ nhưng vẫn vào điểm danh chào cờ bị xử lý như thế nào,info
"Viết, vẽ, khắc chữ lên tường, cửa, bàn, ghế, bảng… trong các phòng học, phòng họp, phòng ở Ký túc xá và các khu vực khác trong trường bị xử lý gì",info
"Viết, vẽ, khắc chữ lên tường, cửa, bàn, ghế, bảng… trong các phòng học, phòng họp, phòng ở Ký túc xá và các khu vực khác trong trường bị xử lý sao",info
"Viết, vẽ, khắc chữ lên tường, cửa, bàn, ghế, bảng… trong các phòng học, phòng họp, phòng ở Ký túc xá và các khu vực khác trong trường bị xử lý như thế nào",info
Viết lên tường trong phòng học bị xử lý gì,info
Viết lên tường trong phòng học bị xử lý sao,info
Viết lên tường trong phòng học bị xử lý thế nào,info
Vẽ lên tường trong phòng học bị xử lý gì ,info
Vẽ lên tường trong phòng học bị xử lý sao,info
Vẽ lên tường trong phòng học bị xử lý như thế nào,info
Khắc chữ lên tường trong phòng học bị xử lý gì,info
Khắc chữ lên tường trong phòng học bị xử lý sao,info
Khắc chữ lên tường trong phòng học bị xử lý thế nào,info
Vẽ lên bàn ghế trong phòng học bị xử lý gì,info
Vẽ lên bàn ghế trong phòng học bị xử lý sao,info
Vẽ lên bàn ghế trong phòng học bị xử lý thế nào,info
"Viết, vẽ lên bàn ghế trong phòng học bị xử lý gì",info
"Viết, vẽ lên bàn ghế trong phòng học bị xử lý sao",info
"Viết, vẽ lên bàn ghế trong phòng học bị xử lý thế nào",info
"Viết, vẽ lên bàn ghế trong phòng kí túc xá bị xử lý gì",info
"Viết, vẽ lên bàn ghế trong phòng kí túc xá bị xử lý sao",info
"Viết, vẽ lên bàn ghế trong phòng kí túc xá bị xử lý thế nào",info
Khắc chữ lên tường trong phòng kí túc xá bị xử lý như thế nào,info
Khắc chữ lên tường trong phòng kí túc xá bị xử lý gì,info
Khắc chữ lên tường trong phòng kí túc xá bị xử lý sao,info
"Ngồi, chạy nhảy trên bàn; đi trên ghế; leo trèo, nhảy qua cửa sổ; ngồi trên lan can; gạch xé và bôi xóa các thông báo, thông tin của nhà trường bị xử lý gì",info
"Ngồi, chạy nhảy trên bàn; đi trên ghế; leo trèo, nhảy qua cửa sổ; ngồi trên lan can; gạch xé và bôi xóa các thông báo, thông tin của nhà trường bị xử lý như thế nào",info
"Ngồi, chạy nhảy trên bàn; đi trên ghế; leo trèo, nhảy qua cửa sổ; ngồi trên lan can; gạch xé và bôi xóa các thông báo, thông tin của nhà trường bị xử lý sao",info
Ngồi trên bàn học bị xử lý như thế nào,info
Ngồi trên bàn học bị xử lý gì,info
Ngồi trên bàn học bị xử lý sao,info
Chạy nhảy trên bàn học bị xử lý như thế nào,info
Chạy nhảy trên bàn học bị xử lý gì,info
Chạy nhảy trên bàn học bị xử lý sao,info
Đi trên ghế bị xử lý như thế nào,info
Đi trên ghế bị xử lý gì,info
Đi trên ghế bị xử lý sao,info
Nhảy qua cửa sổ bị xử lý như thế nào,info
Nhảy qua cửa sổ bị xử lý sao,info
Nhảy qua cửa sổ bị xử lý gì,info
Ngồi trên lan can bị xử lý như thế nào,info
Ngồi trên lan can bị xử lý gì,info
Ngồi trên lan can bị xử lý sao,info
Gạch xé các thông báo của nhà trường bị xử lý gì,info
Gạch xé các thông báo của nhà trường bị xử lý sao,info
Gạch xé các thông báo của nhà trường bị xử lý như thế nào,info
Gạch xé các thông tin của nhà trường bị xử lý gì,info
Gạch xé các thông tin của nhà trường bị xử lý sao,info
Gạch xé các thông tin của nhà trường bị xử lý như thế nào,info
Bôi xóa các thông báo của nhà trường bị xử lý gì,info
Bôi xóa các thông báo của nhà trường bị xử lý sao,info
Bôi xóa các thông báo của nhà trường bị xử lý như thế nào,info
Giẫm chân lên bệ bồn cầu của nhà trường bị xử lý gì,info
Giẫm chân lên bệ bồn cầu của nhà trường bị xử lý sao ,info
Giẫm chân lên bệ bồn cầu của nhà trường bị xử lý như thế nào,info
"Tự ý di chuyển các trang thiết bị, tài sản, bàn ghế, bảng, bục trong phòng học, giảng đường bị xử lý sao",info
"Tự ý di chuyển các trang thiết bị, tài sản, bàn ghế, bảng, bục trong phòng học, giảng đường bị xử lý gì",info
"Tự ý di chuyển các trang thiết bị, tài sản, bàn ghế, bảng, bục trong phòng học, giảng đường bị xử lý như thế nào",info
Làm hư hỏng các thiết bị bị xử lý như thế nào,info
Làm hư hỏng các thiết bị bị xử lý sao,info
Làm hư hỏng các thiết bị bị xử lý gì,info
"Phá hoại thang máy, nghịch phá lan can, cầu thang, tường rào, đèn chiếu sáng bị xử lý như thế nào",info
"Phá hoại thang máy, nghịch phá lan can, cầu thang, tường rào, đèn chiếu sáng bị xử lý gì",info
"Phá hoại thang máy, nghịch phá lan can, cầu thang, tường rào, đèn chiếu sáng bị xử lý sao",info
"Làm mất vệ sinh trong trường, bỏ rác không đúng nơi qui định bị xử lý sao",info
"Làm mất vệ sinh trong trường, bỏ rác không đúng nơi qui định bị xử lý gì",info
"Làm mất vệ sinh trong trường, bỏ rác không đúng nơi qui định bị xử lý như thế nào",info
Bỏ rác không đúng nơi quy định bị xử lý gì,info
Bỏ rác không đúng nơi quy định bị xử lý sao,info
Bỏ rác không đúng nơi quy định bị xử lý như thế nào,info
"Lãng phí điện, nước trong trường bị xử lý gì",info
"Lãng phí điện, nước trong trường bị xử lý sao",info
"Lãng phí điện, nước trong trường bị xử lý như thế nào",info
Lấy cắp tài sản trong trường bị xử lý gì,info
Lấy cắp tài sản trong trường bị xử lý sao,info
Lấy cắp tài sản trong trường bị xử lý như thế nào,info
Không tham gia đầy đủ các buổi sinh hoạt công dân do nhà trường tổ chức bị xử lý gì,info
Không tham gia đầy đủ các buổi sinh hoạt công dân do nhà trường tổ chức bị xử lý sao,info
Không tham gia đầy đủ các buổi sinh hoạt công dân do nhà trường tổ chức bị xử lý thế nào,info
Không tham gia sinh hoạt công dân bị xử lý gì ,info
Không tham gia sinh hoạt công dân bị xử lý sao,info
Không tham gia sinh hoạt công dân bị xử lý như thế nào,info
Điểm danh hộ bị xử lý như thế nào,info
Điểm danh hộ bị xử lý gì,info
Điểm danh hộ bị xử lý sao,info
Học hộ bị xử lý như thế nào,info
Học hộ bị xử lý gì,info
Học hộ bị xử lý ra sao,info
"Nhờ người khác điểm danh hộ, học hộ bị xử lý gì",info
"Nhờ người khác điểm danh hộ, học hộ bị xử lý sao",info
"Nhờ người khác điểm danh hộ, học hộ bị xử lý thế nào",info
Tham gia sinh hoạt công dân hộ bị xử lý như thế nào,info
Tham gia sinh hoạt công dân hộ bị xử lý sao,info
Tham gia sinh hoạt công dân hộ bị xử lý gì,info
Nhờ người khác tham gia sinh hoạt công dân hộ bị xử lý gì,info
Nhờ người khác tham gia sinh hoạt công dân hộ bị xử lý sao,info
Nhờ người khác tham gia sinh hoạt công dân hộ bị xử lý thế nào,info
Thi hộ bị xử lý như thế nào,info
Thi hộ bị xử lý gì,info
Thi hộ bị xử lý sao,info
Kiểm tra hộ bị xử lý như thế nào,info
Kiểm tra hộ bị xử lý gì,info
Kiểm tra hộ bị xử lý sao,info
Nhờ người khác thi hộ bị xử lý như thế nào,info
Nhờ người khác thi hộ bị xử lý sao,info
Nhờ người khác thi hộ bị xử lý gì,info
Nhờ người khác kiểm tra hộ bị xử lý như thế nào,info
Nhờ người khác kiểm tra hộ bị xử lý sao,info
Nhờ người khác kiểm tra hộ bị xử lý gì,info
"Sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý như thế nào",info
"Sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý gì",info
"Sao chép tiểu luận, đồ án, khóa luận tốt nghiệp bị xử lý sao",info
Sao chép tiểu luận bị xử lý như thế nào,info
Sao chép tiểu luận bị xử lý gì,info
Sao chép tiểu luận bị xử lý ra sao,info
Sao chép đồ án bị xử lý như thế nào,info
Sao chép đồ án bị xử lý gì,info
Sao chép đồ án bị xử lý ra sao,info
Sao chép khóa luận tốt nghiệp bị xử lý như thế nào,info
Sao chép khóa luận tốt nghiệp bị xử lý gì,info
Sao chép khóa luận tốt nghiệp bị xử lý ra sao,info
Nhờ người khác làm hộ tiểu luận bị xử lý như thế nào,info
Nhờ người khác làm hộ tiểu luận bị xử lý ra sao,info
Nhờ người khác làm hộ tiểu luận bị xử lý gì,info
Nhờ người khác làm hộ đồ án bị xử lý như thế nào,info
Nhờ người khác làm hộ đồ án bị xử lý gì,info
Nhờ người khác làm hộ đồ án bị xử lý ra sao,info
Nhờ người khác làm hộ khóa luận tốt nghiệp bị xử lý như thế nào,info
